Track ID,Entry time,Exit Time,Movement Tracks
1,2026-04-26 10:57:26.708562,2026-04-26 10:57:34.067736,217,39,222,36,227,31,228,29,230,25,243,21,242,19
3,2026-04-26 10:57:26.708562,2026-04-26 10:57:34.067736,135,52,146,48,152,41,160,34,164,32,172,28,191,27
7,2026-04-26 10:57:26.708562,2026-04-26 10:57:34.067736,987,80,983,108,984,107,985,127,987,129,991,147
19,2026-04-26 10:57:26.708562,2026-04-26 10:57:34.067736,266,318,266,318,265,318,264,315,266,315,270,314,269,314,269,314
25,2026-04-26 10:57:26.708562,2026-04-26 10:57:35.810247,49,503,55,503,61,507,78,528,103,545,107,552
2,2026-04-26 10:57:26.708562,2026-04-26 10:57:37.935037,909,39,912,40,912,40,917,42,910,42,918,43,918,50,926,52,930,54,932,53,938,54,936,57,939,55,944,58,944,60,947,61
11,2026-04-26 10:57:26.708562,2026-04-26 10:57:37.935037,1027,120,1029,123,1033,127,1033,134,1034,137,1036,146,1042,150,1047,154,1053,158,1051,168,1054,173,1062,153,1063,170,1068,195,1069,200,1065,206,1059,215
41,2026-04-26 10:57:32.379996,2026-04-26 10:57:37.935037,686,588,684,579,682,567,685,556
42,2026-04-26 10:57:32.791196,2026-04-26 10:57:38.319129,399,591,398,584,406,571,397,563
21,2026-04-26 10:57:26.708562,2026-04-26 10:57:38.690765,847,315,852,323,857,336,862,341,865,355,869,362,877,380,883,391,891,401,896,418,901,424,919,459,925,469,930,487,938,494,947,522,957,539,963,550
9,2026-04-26 10:57:26.708562,2026-04-26 10:57:39.044217,685,107,681,105,682,101,681,98,681,84,679,80,678,80,677,75,676,72,676,67,673,60,670,55,670,53,668,48,669,41,669,39,668,34,659,32,656,31,651,29
37,2026-04-26 10:57:30.834459,2026-04-26 10:57:39.780337,1001,173,1000,181,1010,190,1016,195,1024,196,1025,206,1028,219,1032,225,1046,223,1045,243,1051,248,1054,262,1061,264
13,2026-04-26 10:57:26.708562,2026-04-26 10:57:40.941163,417,167,417,159,413,151,411,143,410,137,410,130,410,124,410,119,409,118,409,106,411,101,412,95,413,89,411,82,413,74,413,72,413,65,410,57,411,52,411,51,409,43,408,39,408,31
15,2026-04-26 10:57:26.708562,2026-04-26 10:57:40.941163,839,226,841,235,847,243,851,254,856,266,861,274,868,288,876,300,879,316,885,323,890,337,899,348,905,366,909,377,922,388,928,408,947,440,958,458,985,507,993,533,1011,547,1018,562
16,2026-04-26 10:57:26.708562,2026-04-26 10:57:40.941163,161,295,157,310,158,316,154,322,150,336,148,344,149,358,145,369,139,375,138,394,133,406,129,416,127,434,117,439,111,459,107,478,99,483,100,523,97,532,91,543,79,553,72,558,72,570,69,580,60,587
24,2026-04-26 10:57:26.708562,2026-04-26 10:57:40.941163,822,448,812,448,804,445,784,445,771,445,757,440,741,450,728,456,715,457,701,459,693,459,682,463,674,471,661,484,649,486,636,502,628,508,618,525,613,545,602,551,594,561,586,567,573,572,572,581,570,587
45,2026-04-26 10:57:33.619400,2026-04-26 10:57:40.941163,1069,133,1068,136,1068,145,1069,146,1070,154,1070,156,1069,158,1069,168,1069,169
50,2026-04-26 10:57:35.390374,2026-04-26 10:57:42.864380,737,28,735,28,729,26,724,26,711,22
14,2026-04-26 10:57:26.708562,2026-04-26 10:57:44.704247,337,195,337,196,337,203,337,204,341,192,340,194,341,223,338,177,339,181,337,193,338,194,340,203,343,215,340,217,339,224,340,228,337,239,338,247,335,253,330,259,330,261,328,269,327,276,325,288,321,292,318,298,315,309,315,314,313,323,313,335,309,335,311,353,308,364
17,2026-04-26 10:57:26.708562,2026-04-26 10:57:45.392366,444,286,441,277,441,271,441,258,442,250,443,240,442,232,440,228,440,218,439,211,440,201,440,194,440,188,435,178,432,173,430,165,427,160,424,156,421,147,422,143,421,135,418,126,417,122,418,114,418,109,418,100,417,98,418,79,418,73,418,52,419,42
27,2026-04-26 10:57:27.644828,2026-04-26 10:57:45.718955,201,315,197,316,203,315,201,312,201,316,203,312,203,311,203,311,204,310,204,306,204,306,204,306,204,305,203,305,202,300,202,299,201,299,203,298,201,298,201,298,201,298,201,298
33,2026-04-26 10:57:30.052564,2026-04-26 10:57:46.013473,481,67,485,67,486,66,483,66,480,64,468,63,471,61,477,63,477,62,479,63,483,64,484,65,479,60,484,60,484,58,485,57,482,55,473,52,470,50,472,49,478,44,480,43,482,40,481,40,478,37,479,36,478,33,478,32,480,31,480,28
43,2026-04-26 10:57:32.791196,2026-04-26 10:57:46.654733,18,330,17,335,18,341,25,354,30,360,38,367,44,380,51,383,58,399,61,409,66,411,75,425,81,434,86,447,93,461,100,470,115,482,118,494,121,501,128,526,130,540,138,548,142,558,150,565,151,575,157,585,157,592
63,2026-04-26 10:57:42.128583,2026-04-26 10:57:46.979678,450,589,453,581,452,573,453,564,453,555
32,2026-04-26 10:57:29.667962,2026-04-26 10:57:47.289233,663,262,667,259,668,250,668,245,668,236,671,228,675,221,675,211,674,198,674,193,674,189,676,184,675,179,673,171,675,165,676,158,672,153,673,149,667,132,667,129,666,124,666,119,666,112,667,104,669,102,670,98,670,96,670,88,673,83,675,81,688,58
40,2026-04-26 10:57:31.613366,2026-04-26 10:57:47.289233,1000,130,1001,137,1001,143,1002,147,1006,158,1008,161,1007,171,1012,180,1009,188,1012,196,1013,201,1016,207,1016,218,1018,223,1017,236,1017,245,1018,246,1021,260,1025,268,1028,276,1030,291,1033,295,1041,311,1043,324,1048,332,1053,345,1055,356,1055,362,1059,383,1059,400,1063,410,1067,431
57,2026-04-26 10:57:39.398538,2026-04-26 10:57:47.622140,1023,90,1013,100,1025,100,1016,104,1015,106,1014,111,1018,113,1017,120,1027,120,1027,123,1033,133,1034,136
62,2026-04-26 10:57:40.941163,2026-04-26 10:57:47.913226,1041,104,1043,112,1044,114,1049,113,1048,126,1054,131,1059,135,1059,137,1059,143
34,2026-04-26 10:57:30.453237,2026-04-26 10:57:48.527780,342,240,344,244,346,249,346,259,344,265,344,267,344,274,342,285,339,288,338,297,336,308,335,316,334,323,333,328,329,343,325,347,323,359,324,370,320,376,318,390,315,398,317,406,320,413,319,424,319,439,317,447,320,459,322,472,323,480,317,499,316,507,321,523,320,539,319,545,313,558,311,564,312,573,311,581,308,587
59,2026-04-26 10:57:40.187692,2026-04-26 10:57:49.692772,12,366,15,364,18,379,23,389,30,393,35,410,43,415,47,432,56,441,69,451,78,470,85,474,94,493,103,498,113,517,120,526,128,549,134,557,143,563
22,2026-04-26 10:57:26.708562,2026-04-26 10:57:49.995241,397,401,400,389,399,378,397,359,397,348,398,335,400,323,400,315,400,299,400,293,402,277,403,272,405,262,406,249,406,239,408,228,408,222,405,214,403,204,403,196,402,188,403,181,401,172,401,165,400,159,400,148,400,144,400,136,399,127,399,124,400,112,399,108,397,102,395,97,395,96,397,83,397,81,396,76,400,66,399,64,398,57,398,55,398,49,401,43,401,41,397,34,398,34,387,32,389,33,394,34,402,33,404,31
12,2026-04-26 10:57:26.708562,2026-04-26 10:57:50.271501,536,143,537,143,536,147,537,152,537,155,536,161,535,166,535,173,536,182,536,184,533,191,533,196,532,204,532,211,533,214,532,221,531,228,532,237,531,245,532,249,530,258,528,264,528,273,528,284,529,288,528,297,527,308,528,315,530,323,536,328,533,341,533,351,536,356,538,368,542,382,542,390,541,404,543,413,543,430,547,439,548,453,546,471,548,478,548,498,552,509,552,520,552,542,552,551,559,558,564,566,570,573,568,584,571,592
56,2026-04-26 10:57:38.319129,2026-04-26 10:57:50.271501,267,311,272,310,272,310,306,366,304,381,302,386,299,394,300,415,298,417,298,432,292,453,288,483,287,487,284,509,276,532,274,551,272,556,271,564
68,2026-04-26 10:57:46.013473,2026-04-26 10:57:50.271501,261,297,263,296,264,296,262,299,261,300
26,2026-04-26 10:57:26.708562,2026-04-26 10:57:50.572332,672,562,668,552,660,543,655,524,649,502,647,495,642,473,637,462,632,452,627,434,625,431,624,411,621,399,619,388,617,369,616,363,615,352,615,338,614,333,613,318,612,310,615,301,614,288,613,283,613,273,613,263,614,259,616,243,614,238,615,230,615,220,614,215,615,206,613,198,610,195,613,184,613,176,614,172,615,166,614,159,613,151,613,145,614,142,616,134,615,126,615,121,615,114,617,112,617,103,618,99,613,90,613,84,612,79,611,76
69,2026-04-26 10:57:46.323569,2026-04-26 10:57:50.572332,804,582,781,572,770,563,759,553,740,549
5,2026-04-26 10:57:26.708562,2026-04-26 10:57:50.880481,793,50,793,50,793,50,792,49,785,60,790,59,791,60,791,58,792,57,792,57,792,57,792,57,791,58,791,57,791,57,786,55,787,55,786,54,787,54,786,53,786,54,786,53,788,52,801,43,791,48,791,49,791,50,787,50,790,49,791,49,791,49,791,49,791,49,787,49,787,49,791,49,791,49,792,49,791,42,786,49
70,2026-04-26 10:57:46.979678,2026-04-26 10:57:51.526575,868,586,866,571,864,566,867,556,869,546,873,532
75,2026-04-26 10:57:47.913226,2026-04-26 10:57:51.526575,563,76,566,80,563,87
4,2026-04-26 10:57:26.708562,341,627,58,626,60,625,65,626,67,628,75,628,79,629,83,632,88,632,95,632,97,631,104,632,106,634,111,637,114,635,121,634,127,636,132,638,136,641,143,637,151,639,152,643,160,645,160,649,173,656,159,655,184,658,190,658,199,662,205,666,219,666,227,667,237,669,243,671,254,673,260,672,271,675,277,677,288,682,298,683,311,683,319,689,329,693,339,692,352,694,365,697,371,702,389,703,394,704,414,709,417,711,435,714,446,716,499,715,481,724,495,728,509,730,525,728,546,730,557,732,570,737,580,740,590
8,2026-04-26 10:57:26.708562,341,67,106,66,105,64,103,63,102,63,102,63,102,62,103,62,103,62,103,61,102,61,101,53,87,57,83,63,83,70,83,65,98,64,99,63,99,63,99,62,98,61,97,61,96,56,95,54,95,52,95,54,95,53,91,53,91,53,91,52,95,51,96,50,96,50,98,47,99,45,100,39,99,39,99,38,101,38,101,38,101,37,101,37,100,38,101,38,101,38,101,39,101,42,101,43,99,43,99,38,102,38,101,38,101,38,101,38,102,38,101,37,102,36,103,34,105,30,104,28,104,27,105,26,105
18,2026-04-26 10:57:26.708562,341,232,323,233,321,236,320,225,314,237,316,226,313,236,317,238,317,238,317,241,317,239,316,238,315,234,315,235,315,238,315,238,314,240,315,241,315,242,315,242,313,240,314,240,313,240,312,240,313,238,313,237,312,238,312,238,310,234,308,238,308,237,309,240,309,229,307,229,308,230,309,231,308,234,309,229,309,228,309,230,309,230,309,228,309,232,309,231,308,233,307,231,308,234,308,233,308,235,308,236,309,240,309,237,309,236,309,235,308,233,301,235,301,229,301
23,2026-04-26 10:57:26.708562,341,1061,435,1062,424,1057,411,1052,394,1040,382,1027,376,1021,361,1018,355,1012,345,1002,332,994,324,991,312,984,305,977,296,970,283,962,275,953,267,950,259,946,252,939,240,932,235,928,227,925,216,921,213,916,202,911,197,905,191,904,180,901,173,896,168,897,160,892,154,892,147,891,143,887,141,888,130,887,125,881,120,880,114,877,109,874,101,869,98,865,95,864,87,862,81,859,75,853,71,850,67,847,59,845,55,842,48,840,44,836,41,832,34,826,38,823,38,820,33,791,41,792,41,791,42
29,2026-04-26 10:57:28.486296,341,573,109,573,113,573,120,574,124,574,125,574,133,575,137,574,144,575,150,577,152,577,155,580,168,577,169,578,177,574,180,571,191,570,198,568,196,565,203,561,213,558,219,557,230,554,237,553,239,551,245,548,250,547,263,547,271,543,272,543,289,544,298,548,314,554,320,553,329,555,341,564,358,568,369,571,376,574,391,578,404,583,415,585,431,585,435,586,454,586,470,588,471,590,495,592,504,590,526,592,549,592,558,591,567,588,575
31,2026-04-26 10:57:29.285109,341,959,52,962,55,965,63,966,66,966,67,968,76,971,76,974,80,976,82,976,81,976,79,978,98,979,103,977,98,976,99,975,98,975,99,980,102,984,106,987,120,994,172,1002,180,1008,195,1011,206,1010,223,1012,228,1013,229,1012,237,1014,243,1017,250,1019,267,1020,275,1022,291,1022,299,1023,309,1022,317,1031,334,1034,345,1043,361,1053,383,1056,385,1060,413
38,2026-04-26 10:57:30.834459,341,614,574,608,564,604,555,597,540,595,530,588,511,586,498,582,487,579,464,580,460,584,441,580,429,579,417,582,400,583,393,584,375,585,368,586,357,589,342,590,331,592,319,592,311,593,300,593,289,595,282,594,269,594,264,596,254,594,245,594,239,593,229,592,221,592,212,590,207,590,198,589,189,589,188,588,177,590,171,591,165,590,157,589,149,590,141,591,135,592,129,592,124,589,122,591,112,590,106,595,101,590,98,590,98
46,2026-04-26 10:57:33.619400,341,91,58,103,58,110,58,140,39,134,34,134,33,136,34,137,35,138,37,136,41,136,43,135,48,135,51,133,54,131,57,131,58,131,65,131,67,131,67,132,74,131,77,131,80,132,84,132,88,133,89,133,96,131,100,129,101,130,104,131,106,132,107,130,111,120,127,117,134,117,142,115,145,112,148,109,155,104,155,100,166,99,171,97,171,97,174,94,177,89,183
47,2026-04-26 10:57:34.067736,341,690,546,691,525,693,507,693,479,696,470,700,446,702,434,703,415,704,401,710,391,714,370,714,364,715,343,716,334,720,319,722,309,723,300,721,283,721,276,721,260,722,254,718,245,715,235,716,223,715,214,713,208,711,195,710,189,711,178,710,171,709,165,709,153,709,148,712,137,712,130,712,122,711,118,713,114,716,105,716,101,716,94,718,89,721,81,724,76,725,73,726,66,727,61,730,52,732,49,731,43,732,37
48,2026-04-26 10:57:34.503813,341,403,557,401,547,401,527,403,521,408,498,411,482,412,476,409,454,411,435,411,431,413,408,413,402,414,391,413,369,412,363,416,357,412,338,413,334,411,324,407,310,409,300,409,293,407,282,409,276,408,268,407,254,409,250,409,239,410,230,411,228,411,216,410,205,411,201,413,189,413,184,413,181,412,170,413,165,416,158,418,151,419,149,421,146,421,133,421,125,426,121,427,118,431,111,434,105,434,99,435,90
53,2026-04-26 10:57:36.998071,341,528,91,529,98,531,101,530,106,531,112,530,114,530,119,528,127,528,130,528,138,523,142,523,149,523,157,524,161,523,168,521,172,523,177,525,184,525,191,524,200,524,206,524,212,524,220,527,224,528,236,529,244,531,246,533,255,536,263,536,273,537,286,538,291,538,305,541,315,541,321,538,337,538,341,538,355,541,367,542,372,542,391,542,393,543,406,553,414
54,2026-04-26 10:57:37.531244,341,181,49,190,49,203,44,211,43,233,40,241,39,246,40,259,39,263,40,276,38,287,40,293,36,302,38,310,39,318,36,328,40,333,40,340,41,349,42,357,41,368,41,420,35,428,36,449,40,478,35,494,37,520,33
65,2026-04-26 10:57:43.974070,341,451,548,449,526,446,519,444,500,442,483,440,475,437,456,435,446,436,435,435,415,436,409,435,398,433,386,433,378,434,363,435,356,436,345,436,331,439,329,441,314,444,308,446,297,446,284,445,276,445,267,446,259
66,2026-04-26 10:57:43.974070,341,535,33,534,38,535,41,535,43,537,49,535,77,536,78,536,82,553,89,551,95,536,99,536,103,548,106,546,109,549,113,546,119,544,119,545,124,550,128
67,2026-04-26 10:57:46.013473,341,1057,127,1055,124,1053,125,1047,89,1035,87,1023,89,1015,88,1004,82,990,84,982,81,974,75,964,76,951,72,943,67,935,65,927,58,921,56,904,53,898,48,891,44
72,2026-04-26 10:57:47.622140,341,1061,80,1058,77,1062,86,1051,62,1046,60,1044,55,1026,41,1022,37,1012,35,1013,29,1016,32
76,2026-04-26 10:57:48.527780,341,690,504,676,486,660,475,650,463,637,458,630,448,619,425,610,416,602,402,594,393,585,385
77,2026-04-26 10:57:48.799316,341,1015,59,1010,56,1008,54,1004,50,988,56,988,44,984,38,975,35,976,30,975,28,967,26
79,2026-04-26 10:57:48.799316,341,874,507,875,501,878,478,882,464,885,455,886,434,889,427,891,405,894,394,895,381,899,368
80,2026-04-26 10:57:49.101797,341,838,589,840,579,837,572,834,564
81,2026-04-26 10:57:49.101797,341,1066,131,1059,107,1058,109,1041,84,1040,82,1035,73,1030,80,1028,62
85,2026-04-26 10:57:49.995241,341,13,218,12,226,12,230,17,226,21,236,23,244,23,249
86,2026-04-26 10:57:50.271501,341,828,555,827,547,828,522,826,523,822,493,822,480
87,2026-04-26 10:57:50.572332,341,37,413,44,417,54,427,64,437,68,448
88,2026-04-26 10:57:50.880481,341,673,593,668,585,667,575,668,565
